ID,Cluster by embedding(STORY),Each StoryCluster LDA,TITLE,STORY,Each Story LDA,ENDING_SPEECH,Each Ending LDA,Cluster by embedding(ending_speech),Each EndingCluster LDA,ENDING_SPEAKER,MORAL1,MORAL2,Each Moral2 LDA,Cluster by embedding(MORAL2),Each Moral2Cluster LDA,NOTE BY GIBBS
113,4,1,THE FOX AND THE GOAT IN THE WELL,"A fox had unwittingly fallen down a well and found herself trapped inside its high walls. Meanwhile, a thirsty goat had made his way to that same place and asked the fox whether the water was fresh and plentiful. The fox set about laying her trap. 'Come down, my friend,' said the fox. 'The water is so good that I cannot get enough of it myself!' The bearded billy-goat lowered himself into the well, whereupon that little vixen leaped up on his lofty horns and emerged from the hole, leaving the goat stuck inside the watery prison.",3,"Come down, my friend. The water is so good that I cannot get enough of it myself!",1,2,4,fox,none,"As soon as someone clever gets into trouble, he tries to find a way 
        out at someone else's expense.",3,individual,,Caxton (6.3) provides a delightful rebuke of the goat by the fox: 'And thenne the foxe beganne to lawhe and to scorne hym / and sayd to hym / O mayster goote / yf thow haddest be wel wyse with thy fayre berde / or euer thow haddest entryd in to the welle / thow sholdest fyrst haue taken hede / how thow sholdest haue comen oute of hit ageyne.'
114,4,1,"THE DONKEY, THE HORSE AND THE BARLEY","A donkey asked a horse to give him a nibble of barley. The horse replied, 'If only I could, I would do so gladly! Indeed, I would give you a great deal of barley, since I am a noble and generous character. When we return to the stable together this evening, I promise to give you an entire sack of grain.' The donkey then said to the horse, 'If you refuse to do me even this small favour now, why should I expect a still bigger favour in the future?'",5,"If you refuse to do me even this small favour now, why should I expect a still bigger favour in the future?",9,1,2,donkey,none,"For people who make big promises while refusing even small requests: 
        they are quick to promise but reluctant to give.",1,2,,
115,4,1,THE TWO DUNG BEETLES,"There was a bull who was pastured on a little island. Two dung beetles lived there too, feeding on the bull's manure. Winter was approaching, so one of the dung beetles said to the other, 'I want to go to the mainland and I will live there by myself during the winter. If I happen to find a good feeding ground over there, I bring back something for you too.' The beetle then moved to the mainland and found a lot of manure that was all moist and fresh. He settled in and had plenty to eat. When winter was over, he flew back to the little island where he had left the first beetle. When the first beetle saw that the second beetle was coming back looking so plump and fat, he asked him why he had not done what he had promised. The second beetle replied, 'Don't blame me! It's the nature of the place: there is plenty to eat there, but the food cannot be taken away.'",5,"Don't blame me! It's the nature of the place: there is plenty to eat there, but the food cannot be taken away",8,2,4,second beetle,none,"This story fits those people who make displays of friendship at the 
        height of the party, but who are otherwise useless to their friends.",5,0,,
116,4,1,THE MOTHER DOG AND HER PUPPIES,"A dog who was about to give birth to puppies asked another dog if she could deliver the litter in her kennel. The owner of the kennel agreed. Later on, when the owner asked for her house back, the mother dog begged her to let her stay just a little while longer, until her puppies were strong enough to follow her. When this new deadline had passed, the owner of the kennel began to assert her claim more forcefully, but the mother dog retorted, 'If you think you are a match for me and all my brood, then come and get it!'",3,"If you think you are a match for me and all my brood, then come and get it!",7,3,0,mother dog,none,"There is danger lurking in the words of a wicked person, which the 
        following story warns us to avoid.",11,0,,
117,4,1,THE WOLF AND THE SLEEPING DOG,"A dog was sleeping in front of the barn when a wolf noticed him lying there. The wolf was ready to devour the dog, but the dog begged the wolf to let him go for the time being. 'At the moment I am thin and scrawny,' said the dog, 'but my owners are about to celebrate a wedding, so if you let me go now, I'll get fattened up and you can make a meal of me later on.' The wolf trusted the dog and let him go. When he came back a few days later, he saw the dog sleeping on the roof. The wolf shouted to the dog, reminding him of their agreement, but the dog simply said, 'Wolf, if you ever catch me sleeping in front of the barn again, don't wait for a wedding!'",4,"Wolf, if you ever catch me sleeping in front of the barn again, don't wait for a wedding!",6,4,3,dog,none,"The same is true of intelligent people: when they escape from some 
        threatening situation, they are on guard in the future.",4,individual,,
118,4,1,"THE CAT, THE MOUSE AND THE OATH","There was once a mouse who had fallen into the foam of some fermenting wine or ale. A cat was passing by and heard the mouse squeaking because he couldn't get out. The cat said, 'Why are you making such a ruckus?' The mouse answered, 'Because I cannot get out of here.' The cat said, 'What will you give me if I get you out of there?' The mouse said, 'Whatever you want!' The cat said, 'If I set you free this time, will you come when I call you?' The mouse replied, 'You have my solemn promise.' The cat said, 'Swear an oath!' So the mouse swore an oath. The cat then rescued the mouse and let him go. Then one day the cat was hungry. He went to the mouse's hole and told him to come out. The mouse said, 'I refuse.' The cat said, 'Didn't you swear to me that you would come when I called you?' The mouse said, 'Brother, I was drunk when I swore that oath!'",5,"Brother, I was drunk when I swore that oath!",9,1,2,mouse,none,Against people who do not keep their promises.,9,2,,"Like many of Odo's fables, this story has a monastic setting, and the mouse addresses the cat as 'brother,' as if they were both monks; for another one of Odo's monastic stories, see Fable 119 (following)."
119,4,1,THE ABBOT AND THE FLEA,"This is the story of the flea that was caught by the abbot. The abbot said, 'Now I've got you! You have bitten me many times, making it impossible for me to get a good night's sleep. I will never let you go; in fact, I am going to kill you right now!' The flea said, 'Holy Father, since you intend to kill me, please hold me in the palm of your hand so that I will be able to freely confess my sins to you. Let me make my confession, and then you can kill me.' The abbot was moved by the flea's piety so he placed the insect in the middle of his palm. The flea immediately leaped up into the air and flew away. The abbot yelled loudly at the flea, but the he refused to come back.",3,none,none,none,,none,none,Against people who do not keep their promises.,9,2,,
120,4,1,THE MAN AND THE FLEA,"A man finally caught a flea that had been bothering him terribly. He shouted at the flea, 'Just who do you think you are, feeding on all the limbs of my body here and there, eating me up as you please?' The flea responded, 'That is how we live! Please don't kill me; I cannot be causing you too much harm.' The man laughed at the flea and said, 'I'm going to kill you here and now with my very own hands: any kind of evil, whether it is big or small, should not be allowed to exist under any circumstances whatsoever!'",3,"I'm going to kill you here and now with my very own hands: any kind of evil, whether it is big or small, should not be allowed to exist under any circumstances whatsoever",2,5,4,man,none,"The fable shows that no mercy should be shown to someone who is wicked, 
        regardless of whether his wickedness is great or small.",1,1,,
121,4,1,THE SOLDIER AND THE TRUMPET,"There was once a soldier, a weary veteran of many battles who had vowed to kindle a bonfire and consign his weapons to the flames including all those weapons which many a dying man had surrendered to him in victory along with anything that he had been able to seize from the enemy forces as they fled the field. Since Fortune had favoured his wishes, the soldier was now about to carry out his vow, so he began casting the weapons one by one onto the burning pyre. The trumpet, however, protested loudly, denying his guilt and insisting that he was being sent undeservedly to the flames of the fire. 'You cannot claim that my powers were used to launch any missiles directed at your mighty arms,' said the trumpet. 'All I did was to urge the weapons onward with my blast and my blare. Indeed, I swear by all the stars in heaven that I actually tried to blow as quietly as possible!' The soldier nevertheless added the trumpet to the rest of the weapons. As the trumpet tossed and turned in the crackling flames, the soldier remarked, 'All the more reason for you to suffer this pain and punishment! Although you did not actually accomplish anything on your own, you are all the more vicious on that account, since you urged others to do wicked deeds.'",1,"All the more reason for you to suffer this pain and punishment! Although you did not actually accomplish anything on your own, you are all the more vicious on that account, since you urged others to do wicked deeds",7,1,2,soldier,none,none,none,none,,
122,4,1,THE ROOSTER AND THE THIEVES,"Thieves broke into a certain house and didn't find anything inside except a rooster. The thieves grabbed the rooster and made their escape. Later, when they were ready to kill him, the rooster begged the thieves to let him go, claiming that he was useful to people because he woke them to go about their tasks in the dark. The thieves said, 'All the more reason to kill you: when you wake them up, you prevent us from robbing their houses!'",1,"All the more reason to kill you: when you wake them up, you prevent us from robbing their houses!",5,5,4,thieves,none,"The story shows it is precisely the things that frustrate wicked people 
        which are beneficial to honest folk.",3,0,,"L'Estrange's epimythium cites the English proverb: 'One Body's Meat, is Another Body's Poison.'"
123,4,1,"THE BIRD CATCHER, THE PARTRIDGE AND THE ROOSTER","A bird catcher received an unexpected visit from a friend just as he was about to dine on a simple meal of herbs and parsley. Since he hadn't actually caught anything lately, the bird?멵age was empty, so the man decided to slaughter a speckled partridge that he had tamed to use as a decoy. The partridge begged the bird catcher not to kill him, ?쏮y dear man, how will you hunt with your net in the future? Who will assemble that flock of gregarious, keen?멷yed birds on your behalf? And who will serenade you with singing as you drift off to sleep???The bird catcher let go of the partridge, and decided to kill the bearded rooster instead. The rooster, however, let out a squawk from his perch and said, ?쏧f you kill me, how will you know how much longer it is until dawn, since I am the one who tells you the time? How will you know that Orion with his golden bow is on watch during the night? Who will remind you of the morning's work, announcing the dew on the birds' outstretched wings???The man said, ?쏧t is useful indeed to know what time it is, but all the same, my friend has to have something to eat!??,Aesop's Fables.""",5,"It is useful indeed to know what time it is, but all the same, my friend has to have something to eat!",8,2,4,bird catcher,none,none,none,none,,"The constellation Orion, one of the brightest stars in the night sky, was imagined by the Greeks to be a hunter armed with weapons, engaged in a perpetual battle with the constellation of Scorpio."
124,4,1,"THE FARMER, THE WASPS AND THE PARTRIDGES","There were once some wasps and some partridges who were terribly thirsty, so they went to a farmer to ask him for a drink. In return for the water, the partridges promised that they would dig around his vines so that they would produce excellent grapes, while the wasps would stand guard over the vines, driving away thieves by stinging them. The farmer said to them, 'But look, I have these two oxen, who do everything for me without making bargains. It is better for me to give the water to them, not to you.'",0,"But look, I have these two oxen, who do everything for me without making bargains. It is better for me to give the water to them, not to you",0,2,4,farmer,none,This fable is appropriate for a man who is ungrateful.,10,3,0,"This elliptical epimythium seems to assume that this fable offers a positive example for a man who is not usually grateful (i.e., for a farmer who does not care for his oxen's needs). In another version of this fable (included in Chambry's first edition of the Greek fables), the moral focuses instead on the services offered by the wasps and the partridges: 'This is a fable for noxious people who promise to be helpful but who are actually very harmful.'"
125,4,1,THE ANT AND THE DUNG BEETLE,"During the summer, the ant went around the fields collecting grains of wheat and barley so that he could store up some food for the winter. A dung beetle watched the ant and decided that he must be a wretched creature since he worked all the time, never taking a moment's rest, unlike the other animals. The ant didn't pay attention to the dung beetle and simply went about his business. When winter came and the dung was washed away by the rain, the beetle grew hungry. He went to the ant and begged him to share a little bit of his food. The ant replied, 'O beetle, if you had done some work yourself instead of making fun of me while I was working so hard, then you would not need to be asking me for food.'",5,"O beetle, if you had done some work yourself instead of making fun of me while I was working so hard, then you would not need to be asking me for food",0,2,4,ant,none,"The fable teaches us that we should not neglect important things that 
        require our attention, and instead we should attend in good time to our 
        future well-being.",9,4,,"For the more famous version of this story about the ant and the cricket, see Fable 126 (following)."
126,4,1,THE ANT AND THE CRICKET,"During the wintertime, an ant was living off the grain that he had stored up for himself during the summer. The cricket came to the ant and asked him to share some of his grain. The ant said to the cricket, 'And what were you doing all summer long, since you weren't gathering grain to eat?' The cricket replied, 'Because I was busy singing I didn't have time for the harvest.' The ant laughed at the cricket's reply, and hid his heaps of grain deeper in the ground. 'Since you sang like a fool in the summer,' said the ant, 'you better be prepared to dance the winter away!'",4,"Since you sang like a fool in the summer, you better be prepared to dance the winter away!",3,5,4,ant,none,"This fable depicts lazy, careless people who indulge in foolish pastimes, 
        and therefore lose out.",10,4,,"For a condemnation of the ant's foolish greed, see Fable 127 (following). For another negative interpretation of the ant's behaviour, see Fable 513, the story of the man who became an ant."
127,4,1,THE ANTS AND THE PIGS,"Ants gather up a big pile of grain so that they can consume it during the winter, but at a certain point the pigs come along and they scatter the grain and eat it all up.",4,none,none,none,,none,A fable against the vain accumulation of material goods.,"The same thing often happens to people: they gather much and often, 
        but thieves come, or the bailiffs of the prince, or their own family members, 
        and everything gets devoured, or else they end up leaving their wealth 
        to strangers.",6,0,,
128,4,1,"THE EAGLE, THE SOW AND THE CAT","An eagle had made her nest up high in an oak tree; meanwhile, in a hollow halfway up the tree, a cat had given birth to kittens; finally, at the foot of the tree there was a forest-dwelling sow and her litter of piglets. As it turned out, this fortuitous congregation was eventually destroyed by the cat's wicked and malicious scheming. First, she went to the eagle's nest and said, 'You are about to be destroyed, and so am I! Woe is me! You can see for yourself how the treacherous sow keeps digging in the dirt day after day: she plans to uproot the tree so that she will be able to attack our offspring down there on the ground.' After having scared the eagle out of her wits with these words, the cat then crept down to the den of the bristly sow. 'Your litter is in grave danger,' said the cat, 'because the eagle is ready to seize your little piglets as soon as you go out to look for food.' Having filled the houses of both the eagle and the sow with terror, the sneaky creature hid herself safely inside her hollow in the tree. She crept out at night on tiptoe, finding plenty of food for herself and her kittens, but during the day she only poked her nose out of her den, pretending to be afraid. Meanwhile, the eagle didn't stir from the branches since she expected some disaster and the wild sow would not venture out of doors, since she wanted to protect her home from the eagle's attack. To make a long story short: the sow and the eagle both died of hunger, together with their children, thus supplying the cat and her kittens with a bountiful feast.",0,"Your litter is in grave danger, because the eagle is ready to seize your little piglets as soon as you go out to look for food",5,4,3,cat,none,"This fable is a lesson for foolish and gullible people that someone 
        who speaks with a forked tongue often stirs up all kinds of trouble.",3,1,,
129,4,1,THE CAT AND THE ROOSTER,"A cat had seized a rooster and wanted to find a reasonable pretext for devouring him. He began by accusing the rooster of bothering people by crowing at night, making it impossible for them to sleep. The rooster said that this was actually an act of kindness on his part, since the people needed to be woken up in order to begin their day's work. The cat then made a second accusation, 'But you are also a sinner who violates nature's own laws when you mount your sisters and your mother.' The rooster said that this also was something he did for his masters' benefit, since this resulted in a large supply of eggs. The cat found himself at a loss and said, 'Well, even if you have an endless supply of arguments, I am still going to eat you anyway!'",5,"Well, even if you have an endless supply of arguments, I am still going to eat you anyway!",1,2,4,cat,none,"The fable shows that when someone with a wicked nature has set his 
        mind on committing some offense, he will carry out his evil acts openly 
        even if he cannot come up with a reasonable excuse.",1,1,,"The cat's last words in L'Estrange are especially delightful: 'Come, come, says Puss, without any more ado, 'tis time for me to go to Breakfast, and Cats don't live upon Dialogues.'"
130,4,1,THE WOLF AND THE LAMB,"A wolf once saw a lamb who had wandered away from the flock. He did not want to rush upon the lamb and seize him violently. Instead, he sought a reasonable complaint to justify his hatred. 'You insulted me last year, when you were small' said the wolf. The lamb replied, 'How could I have insulted you last year? I'm not even a year old.' The wolf continued, 'Well, are you not cropping the grass of this field which belongs to me?' The lamb said, 'No, I haven't eaten any grass; I have not even begun to graze.' Finally the wolf exclaimed, 'But didn't you drink from the fountain which I drink from?' The lamb answered, 'It is my mother's breast that gives me my drink.' The wolf then seized the lamb and as he chewed he said, 'You are not going to make this wolf go without his dinner, even if you are able to easily refute every one of my charges!'",1,"You are not going to make this wolf go without his dinner, even if you are able to easily refute every one of my charges!",9,4,3,wolf,none,none,none,none,,"The similarities between this fable and the Buddhist Dipi-jataka are striking. In the Buddhist fable a goat tries to fend off an aggressive panther: the panther accuses the goat of having stepped on his tail, and the goat replies that the panther is facing the goat, making it impossible to have stepped on his tail, etc."
131,4,1,THE HAWK AND THE NIGHTINGALE,"This is how the hawk addressed the dapple-throated nightingale as he carried her high into the clouds, holding her tightly in his talons. As the nightingale sobbed pitifully, pierced by the hawk's crooked talons, the hawk pronounced these words of power, 'Wretched creature, what are you prattling about? You are in the grip of one who is far stronger than you, and you will go wherever I may lead you, even if you are a singer. You will be my dinner, if that's what I want, or I might decide to let you go.'",2,"Wretched creature, what are you prattling about? You are in the grip of one who is far stronger than you, and you will go wherever I may lead you, even if you are a singer. You will be my dinner, if that's what I want, or I might decide to let you go",2,1,2,hawk,none,"It is a foolish man who thinks he can oppose people who are more powerful 
        he is: he will be defeated in the contest, suffering both pain and humiliation.",8,2,,"Hesiod's account of the hawk and the nightingale is the oldest attested Aesopic fable in Greek literature (c. the eighth century B.C.E.). I have taken the last two lines as an epimythium, rather than including them as part of the hawk's speech to the nightingale. Hesiod's treatment of this fable (and the final lines) has been much discussed; for a recent assessment, see van Dijk 2F1."
132,5,4,THE BULLOCK AND THE FARMER,"When a bullock resisted the harness and thwarted all efforts to place his rugged neck beneath the clamp of the yoke, the farmer trimmed the animal's horns with a crosswise cut of the knife and thought the animal had thus been quieted down. Given that the beast was only too prompt with horn and hoof, the farmer then proceeded very carefully as he hitched the bullock's neck to an enormous plow, no doubt hoping that the long beam would keep him from lashing out, making it hard for the cruel hooves to land a blow. But the bullock began to struggle angrily, pushing with his neck against the ropes and uselessly wearying the innocent earth with his hooves. By stamping his feet he swiftly scattered the stirred-up dirt and it was blown by a blast of wind into his master's face as he followed the plow. The farmer then shook the dirt from his hair, which was stiff with filth and grit. The defeated farmer groaned and said, 'I must have needed to learn a lesson in this type of criminal behaviour in which someone uses his intelligence simply to wreak havoc.'",0,I must have needed to learn a lesson in this type of criminal behaviour in which someone uses his intelligence simply to wreak havoc,10,1,2,farmer,none,none,none,none,,"Compare the altogether more satisfying conclusion in Caxton (7.21), when the frustrated farmer finally says to the bullock: 'For I shalle take the in to the bouchers handes / And thenne was the bole wel chastysed.'"
133,5,4,THE SHEEP AND THE CROW,"A detestable crow had seated herself atop a sheep so that the sheep had to carry the crow around against her will. After a while, the sheep remarked, 'If you had done this to a dog, you would not be able to get away with it: dogs have teeth!' The obnoxious crow replied, 'I despise creatures who cannot defend themselves, yet I yield to the high and mighty, as I know who should be attacked and who should be flattered with cunning lies. That is why I last to a ripe old age, living for thousands of years.'",3,"I despise creatures who cannot defend themselves, yet I yield to the high and mighty, as I know who should be attacked and who should be flattered with cunning lies. That is why I last to a ripe old age, living for thousands of years",4,4,3,crow,none,none,none,none,,"The crow was a proverbially long-lived bird in Greco-Roman folklore, with a lifespan equal to that of nine generations of men (see Ovid, Amores 2.6.35). The deer was another proverbially long-lived animal; see Fable 600."
134,5,4,THE PARTRIDGE AND THE ROOSTERS,"A man who kept roosters also bought himself a partridge and let it loose to live among his other birds. When the roosters pecked at the partridge and chased him away, the partridge became very dejected, thinking that the roosters were attacking him because he was an outsider. After a little while, however, the partridge saw the roosters fighting and attacking one another. The partridge then put aside his grief and said, 'Well, I am certainly not going to grieve over this any longer, now that I see the way they fight with one another.",4,"Well, I am certainly not going to grieve over this any longer, now that I see the way they fight with one another",9,5,4,partridge,none,"The story shows that a wise person readily tolerates the insolence 
        of strangers when he sees those same strangers mistreating one another.",6,0,,
135,5,4,ZEUS AND THE SNAKE,"Zeus was getting married and all the animals brought gifts to the wedding. The snake also came creeping along, holding a rose in his mouth. When Zeus saw him, he said, 'I am willing to take gifts from all the other animals, even when they carry them in their feet, but from your mouth, I will take nothing.'",2,"I am willing to take gifts from all the other animals, even when they carry them in their feet, but from your mouth, I will take nothing",11,4,3,Zeus,none,The fable shows that even the favours of wicked people are frightening.,2,1,,
136,5,4,THE MAN AND HIS DAUGHTER,"There was a man who had fallen in love with his own daughter. Goaded by lust, he sent his wife to the countryside whereupon he forced himself violently on his daughter. She said to him, 'Father, you are committing an unholy crime. I would rather have offered myself to a hundred men than to you!'",1,"Father, you are committing an unholy crime. I would rather have offered myself to a hundred men than to you!",10,1,2,daughter,none,none,none,none,,
137,5,4,"THE NIGHTINGALE, THE HAWK AND THE BIRD CATCHER","A hawk who was hunting a rabbit alighted in a nightingale's nest and found her baby chicks there. When the nightingale returned, she begged the hawk to spare the chicks. The hawk said, 'I will grant your request, if you sing me a pretty song.' Even though she mustered all her courage, the nightingale trembled with fear. Stricken with terror, she started to sing but her song was full of grief. The hawk who had seized her chicks exclaimed, 'That is not a very nice song!' He then snatched up one of the chicks and swallowed it. Meanwhile, a bird catcher approached from behind and stealthily raised his snare: the hawk was caught in the sticky birdlime and fell to the ground.",2,That is not a very nice song,5,5,4,hawk,none,"People who lay traps for others should be careful not to fall into 
        a trap themselves.",3,0,,"For a description of the bird catcher's use of a snare made of reeds covered with viscous bird lime, see Fable 138 (following)."
138,5,4,THE BIRD CATCHER AND THE VIPER,"The bird catcher took his birdlime and reeds and went out to catch some birds. When he saw a thrush perched up high in a tree, he set up his reeds, attaching them one to another until they were fully extended. He then stared up into the tree, intent on catching the bird, while unawares he stepped on top of a viper that was lying at his feet. The viper was enraged and bit the man. As he breathed his last, the bird catcher said, 'Woe is me! I was intent on stalking someone else, while I myself have been hunted to death by another.'",0,"Woe is me! I was intent on stalking someone else, while I myself have been hunted to death by another",2,3,0,bird catcher,none,"The story shows that when people plot against their neighbours, they 
        fall victim to the same sort of plot themselves.",9,0,,"Alciato, Emblems 105, assimilates this fable of the bird catcher to the proverbial philosopher or astronomer who looks up and does not notice what is happening at his feet (see Fable 314): 'Thus dies the man who looks up at the stars with his bow drawn taut, careless of the destiny which lies at his feet.'"
139,5,4,THE FROG AND THE MOUSE,"A mouse asked a frog to help her get across the river. The frog tied the mouse's front leg to her own back leg using a piece of string and they swam out to the middle of the stream. The frog then turned traitor and plunged down into the water, dragging the mouse along with her. The mouse's dead body floated up to the surface and was drifting along when a kite flew by and noticed something he could snatch. When he grabbed the mouse he also carried off her friend the frog. Thus the treacherous frog who had betrayed the mouse's life was likewise killed and eaten.",1,none,none,none,,none,none,For people who do harm to others and destroy themselves in the bargain.,5,2,,"For a more elaborate version of this story, see Fable 140 (following). The story of the mouse and the frog occasions one of the most extensive allegorical meditations in Rumi's Mathnawi, 6.2632 ff."
140,5,4,THE FROG AND THE MOUSE,"Back when all the animals spoke the same language, the mouse became friends with a frog and invited him to dinner. The mouse then took the frog into a storeroom filled to the rafters with bread, meat, cheese, olives, and dried figs and said, 'Eat!' Since the mouse had shown him such warm hospitality, the frog said to the mouse, 'Now you must come to my place for dinner, so that I can show you some warm hospitality too.' The frog then led the mouse to the pond and said to him, 'Dive into the water!' The mouse said, 'But I don't know how to dive!' So the frog said, 'I will teach you.' He used a piece of string to tie the mouse's foot to his own and then jumped into the pond, dragging the mouse down with him. As the mouse was choking, he said, 'Even if I'm dead and you're still alive, I will get my revenge!' The frog then plunged down into the water, drowning the mouse. As the mouse's body floated to the surface of the water and drifted along, a raven grabbed hold of it together with the frog who was still tied to the mouse by the string. After the raven finished eating the mouse he then grabbed the frog. In this way the mouse got his revenge on the frog.",1,"Even if I'm dead and you're still alive, I will get my revenge!",4,5,4,mouse,none,none,none,none,,
141,5,4,THE SNAKE AND THE CRAB,"A snake and a crab had become friends and were living together. The crab had a straightforward character and he urged the snake to change his wicked ways but the snake refused to follow the crab's good advice. So the crab kept an eye on the snake and when he found him sleeping he grabbed the snake by the neck and squeezed him to death between his claws. As he was dying, the snake stretched out straight. The crab then remarked, 'Hey, if you had been this straightforward to begin with, I would not have had to punish you for your crooked behaviour!'",1,"Hey, if you had been this straightforward to begin with, I would not have had to punish you for your crooked behaviour!",2,1,2,crab,none,"This fable shows that people who treat their friends deceitfully end 
        up hurting themselves instead.",9,1,,"A version of this story is cited by Athenaeus, Deipnosophistae 15.50, as an Athenian drinking song. For the proverbially crooked crab, see Fable 369."
142,5,4,THE HARE AND THE SPARROW,"A hare had been seized by an eagle and was weeping bitter tears. Meanwhile, a sparrow was making fun of the hare and said, 'So, what became of your fabled swiftness? How did your feet happen to fail you?' While the sparrow was still speaking, he was caught off guard by a hawk who killed the sparrow as he was still shrieking his useless cries of protest. The hare, by now no more than half-alive, remarked, 'Ah, this makes my dying easier: a moment ago you were making fun of my misfortune, confident in your own safety, but now you are bewailing your fate with a lament that matches my own.'",1,"Ah, this makes my dying easier: a moment ago you were making fun of my misfortune, confident in your own safety, but now you are bewailing your fate with a lament that matches my own",12,1,2,hare,none,"With this brief fable I will show that it is a foolish thing to give 
        advice to others while not looking out for oneself.",3,4,,
143,5,4,THE KITE AND THE SNAKE,"A kite seized a snake and flew up high in the sky carrying the snake along with him. The snake then twisted around and struck the kite, so that they both fell down to the ground. As the kite was about to die from the force of the impact, the snake remarked, 'You have no right to get angry, you scoundrel, since you plotted destruction for someone who had done you no wrong! You deserve to suffer, and this is a fitting punishment for what you planned to do.'",3,"You have no right to get angry, you scoundrel, since you plotted destruction for someone who had done you no wrong! You deserve to suffer, and this is a fitting punishment for what you planned to do",6,1,2,snake,none,none,none,none,,"For a very similar fable but with a different moral interpretation, see Fable 460."
144,5,4,THE SHEPHERD AND THE HONEYBEES,"Some honeybees were making honey in the hollow of an oak tree. A shepherd discovered the bees' work and attempted to carry away some of the honey. The honeybees flew all around him, stinging the man with their stings. In the end the shepherd exclaimed, 'I give up! I don't need the honey if it means dealing with the bees.'",6,I give up! I don't need the honey if it means dealing with the bees,1,4,3,shepherd,"A story about honeybees and a shepherd, urging us not to set our hearts 
        on wicked gains.",Trouble awaits you if you pursue ill-gotten gains.,1,individual,,"Compare the Greek proverb, 'no honey, no bees' (Erasmus, Adages 1.6.62), which was used to refer to a person who rejected something pleasant because of some unpleasantness that accompanied it."
145,5,4,"THE FOX, THE DONKEY AND THE LION","The fox and the donkey were partners in a hunting expedition but when they encountered a lion, the fox recognized the danger they were in. She went to the lion and offered to betray the donkey if the lion would promise to spare her life in return. The lion agreed to let the fox go, and the fox then led the donkey into a trap and made him fall in. Once he saw that the donkey could not escape, the lion immediately seized the fox, saving the donkey for later.",6,none,none,none,,none,none,"Likewise, it is often the case that if you plot against your associates, 
        you will be destroyed together with them.",9,2,,
146,5,4,"THE WOLF, THE FOX AND THE SHEPHERD","A wolf had assembled an immense store of booty in his den so that he could feast on all sorts of delicacies for months into the future. When the fox found out about this she paid a visit to the wolf and spoke to him in anxious tones, 'Why should I be deprived of your company these many days? I've been in tears since you have not come outside.' The wolf replied spitefully, 'You didn't come here out of any concern for me; you're just hoping to get something. I know you must have had some reason for coming here: you are trying to trick me!' This made the fox extremely angry, so she went to the shepherd and said to him, 'Would you like it if I turned the enemy of your flock over to you today so that you wouldn't have to worry about him anymore? The shepherd replied, 'I will be at your service and will give you whatever you want.' The fox immediately led the shepherd to where the wolf was hiding and the shepherd killed the wolf with his lance. He then let the spiteful fox eat her fill of someone else's larder. Eventually the fox fell foul of hunters and was caught by their hounds. As she was being torn to pieces, the fox exclaimed, 'Just as I committed a serious crime, now I am going to die, since I brought about someone else's death.'",6,"Just as I committed a serious crime, now I am going to die, since I brought about someone else's death",2,5,4,fox,none,"If you injure other people, you need to watch out, or somebody else 
        will injure you too.",2,6,1,"L'Estrange's epimythium abounds with proverbs: ''Tis with Sharpers as 'tis with Pikes, they prey upon their own kind; and 'tis a pleasant Scene enough, when Thieves fall out among themselves, to see the cutting of one Diamond with another. '"
147,5,4,THE GOAT AND THE DONKEY,"There was a man who kept a goat and a donkey. The goat was jealous of the donkey because he was given more to eat, so she made a deceptive proposal to the donkey, under the guise of giving him advice. 'Look,' said the goat, 'you are always being punished, constantly having to turn the millstone or carry burdens on your back. Why don't you pretend to have a seizure and throw yourself into a ditch?' The donkey trusted the goat and did what she told him to do. As a result of the fall, the donkey was badly scraped and bruised. The donkey's owner summoned a doctor to recommend a remedy. The doctor said that the donkey could be cured by a potion made from the lungs of a goat. So they slaughtered the unfortunate goat, who was thus trapped in her own snare while the donkey was saved.",5,"Look, you are always being punished, constantly having to turn the millstone or carry burdens on your back. Why don't you pretend to have a seizure and throw yourself into a ditch?",8,1,2,goat,none,People who lay traps for others bring about their own destruction.,0,0,,"For a similar story about a wolf and a fox, see Fable 17."
148,5,4,THE FOX AND THE PARTRIDGE,"A partridge had seated herself high on a perch when a fox came up to her and said, 'How beautiful you are to look at: your legs are so red! your mouth is like coral! Ah, if only you were sleeping, you would be even more lovely...' The partridge believed the fox and closed her eyes, and the fox immediately grabbed her. In a voice choked with sobs, the partridge said to the fox, 'I beg you, in the name of all your artful wiles, please say my name before you eat me up.' As the fox's mouth opened to pronounce the word 'partridge,' the partridge flew out and escaped. The fox said sadly, 'Woe is me, what need was there for me to speak?' The partridge likewise said, 'Woe is me, what reason was there for me to close my eyes, when I wasn't even sleepy?'",2,"Woe is me, what reason was there for me to close my eyes, when I wasn't even sleepy?",9,2,4,partridge,none,"For people who speak when there is no reason to do so and who go to 
        sleep when they should be on their guard.",3,2,,"For a similar fable about a fox and a rooster, see Fable 149 (following)."
